season,round,name,element_type,team,pred,pred_norm,yhat,value,total_points_nextgw,transfers_in_nextgw,starting,type,player_id,first_name,second_name,full_name,team_name,jersey_code,probability,captain
2019-20,7,Richarlison_de Andrade_150,3,8,0.7010453939437866,0.7975596785545349,1,80,2.0,28383.0,1,model_dream,150,Richarlison,de Andrade,Richarlison de Andrade,Everton,everton,70.1,0.0
2019-20,8,Richarlison_de Andrade_150,3,8,0.6623971462249756,0.7767526507377625,1,79,6.0,16717.0,1,model_dream,150,Richarlison,de Andrade,Richarlison de Andrade,Everton,everton,66.24,0.0
2019-20,12,Richarlison_de Andrade_150,3,8,0.7447324991226196,0.811689019203186,1,79,2.0,116658.0,0,model_dream,150,Richarlison,de Andrade,Richarlison de Andrade,Everton,everton,74.47,0.0
2019-20,27,Richarlison_de Andrade_150,3,8,0.7881657481193542,0.8391475677490234,1,82,2.0,179050.0,1,model_dream,150,Richarlison,de Andrade,Richarlison de Andrade,Everton,everton,78.82,0.0
2019-20,28,Richarlison_de Andrade_150,3,8,0.6706162691116333,0.7686912417411804,1,83,2.0,73811.0,1,model_dream,150,Richarlison,de Andrade,Richarlison de Andrade,Everton,everton,67.06,0.0
2019-20,29,Richarlison_de Andrade_150,3,8,0.6849247813224792,0.8425636887550354,1,83,3.0,54804.0,1,model_dream,150,Richarlison,de Andrade,Richarlison de Andrade,Everton,everton,68.49,0.0
2019-20,30,Richarlison_de Andrade_150,3,8,0.8377971649169922,0.9756855964660645,1,83,3.0,71325.0,1,model_dream,150,Richarlison,de Andrade,Richarlison de Andrade,Everton,everton,83.78,0.0
2019-20,31,Richarlison_de Andrade_150,3,8,0.6741477251052856,0.7544500231742859,1,83,6.0,15483.0,1,model_dream,150,Richarlison,de Andrade,Richarlison de Andrade,Everton,everton,67.41,0.0
2019-20,21,Richarlison_de Andrade_150,3,8,0.7264956831932068,0.9081215262413025,1,80,10.0,211889.0,1,transfer_dream,150,Richarlison,de Andrade,Richarlison de Andrade,Everton,everton,72.65,0.0
2019-20,26,Richarlison_de Andrade_150,3,8,0.6638363003730774,0.7268598675727844,1,81,6.0,200724.0,1,transfer_dream,150,Richarlison,de Andrade,Richarlison de Andrade,Everton,everton,66.38,0.0
2019-20,27,Richarlison_de Andrade_150,3,8,0.7881657481193542,0.8391475677490234,1,82,2.0,179050.0,1,transfer_dream,150,Richarlison,de Andrade,Richarlison de Andrade,Everton,everton,78.82,0.0
2019-20,28,Richarlison_de Andrade_150,3,8,0.6706162691116333,0.7686912417411804,1,83,2.0,73811.0,1,transfer_dream,150,Richarlison,de Andrade,Richarlison de Andrade,Everton,everton,67.06,0.0
2019-20,12,Tom_Davies_154,3,8,0.4959696829319,0.5405607223510742,-1,53,2.0,6016.0,1,model_budget,154,Tom,Davies,Tom Davies,Everton,everton,49.6,0.0
2019-20,18,Yerry_Mina_142,2,8,0.8487782738423364,1.0,1,53,7.0,4375.0,1,model_budget,142,Yerry,Mina,Yerry Mina,Everton,everton,84.88,0.0
2019-20,25,Yerry_Mina_142,2,8,0.521986183659067,0.5840383666375073,1,53,2.0,18675.0,1,model_budget,142,Yerry,Mina,Yerry Mina,Everton,everton,52.2,0.0
2019-20,2,Yerry_Mina_142,2,8,0.778216142607778,0.8310107412159452,1,55,1.0,195343.0,0,model_dream,142,Yerry,Mina,Yerry Mina,Everton,everton,77.82,0.0
2019-20,18,Yerry_Mina_142,2,8,0.8487782738423364,1.0,1,53,7.0,4375.0,1,model_dream,142,Yerry,Mina,Yerry Mina,Everton,everton,84.88,0.0
2019-20,2,Yerry_Mina_142,2,8,0.778216142607778,0.8310107412159452,1,55,1.0,195343.0,1,transfer_dream,142,Yerry,Mina,Yerry Mina,Everton,everton,77.82,0.0
2019-20,19,Mason_Holgate_478,2,8,0.4454694466965404,0.7222395979424365,0,44,2.0,10114.0,1,model_budget,478,Mason,Holgate,Mason Holgate,Everton,everton,44.55,0.0
2019-20,19,Mason_Holgate_478,2,8,0.4454694466965404,0.7222395979424365,0,44,2.0,10114.0,1,model_budget,478,Mason,Holgate,Mason Holgate,Everton,everton,44.55,0.0
2019-20,32,Mason_Holgate_478,2,8,0.2369464511357429,0.5116475229422746,0,43,0.0,46018.0,0,model_budget,478,Mason,Holgate,Mason Holgate,Everton,everton,23.69,0.0
