season,round,name,element_type,team,pred,pred_norm,yhat,value,total_points_nextgw,transfers_in_nextgw,starting,type,player_id,web_name,first_name,second_name,full_name,team_name,jersey_code,probability,captain
2019-20,5,Alex_Iwobi_17,3,8,0.4621713757514954,0.4938247799873352,-1,59,1.0,28698.0,0.0,model_budget,17,Iwobi,Alex,Iwobi,Alex Iwobi,Everton,everton,46.22,0.0
2019-20,9,Alex_Iwobi_17,3,8,0.4314224123954773,0.4765963554382324,-1,58,2.0,3064.0,0.0,model_dream,17,Iwobi,Alex,Iwobi,Alex Iwobi,Everton,everton,43.14,0.0
2019-20,32,Alex_Iwobi_17,3,8,0.3132818639278412,0.34469860792160034,-1,56,1.0,428.0,0.0,model_budget,17,Iwobi,Alex,Iwobi,Alex Iwobi,Everton,everton,31.33,0.0
2019-20,34,Alex_Iwobi_17,3,8,0.29954010248184204,0.3343087732791901,-1,56,1.0,148.0,0.0,model_dream,17,Iwobi,Alex,Iwobi,Alex Iwobi,Everton,everton,29.95,0.0
2019-20,6,Fabian_Delph_205,2,8,0.10897022000104804,0.11834126541301675,0,54,1.0,625.0,0.0,model_budget,205,Delph,Fabian,Delph,Fabian Delph,Everton,everton,10.9,0.0
2019-20,6,Morgan_Schneiderlin_158,3,8,0.18650345504283905,0.20543690025806427,-1,45,1.0,1825.0,0.0,model_budget,158,Schneiderlin,Morgan,Schneiderlin,Morgan Schneiderlin,Everton,everton,18.65,0.0
2019-20,6,Richarlison_de Andrade_150,3,8,0.7106426954269409,0.7827856540679932,1,80,2.0,20957.0,1.0,model_dream,150,Richarlison,Richarlison,de Andrade,Richarlison de Andrade,Everton,everton,71.06,0.0
2019-20,12,Richarlison_de Andrade_150,3,8,0.7622324824333191,0.8776206970214844,1,79,2.0,116658.0,1.0,model_dream,150,Richarlison,Richarlison,de Andrade,Richarlison de Andrade,Everton,everton,76.22,0.0
2019-20,27,Richarlison_de Andrade_150,3,8,0.707748532295227,0.7861705422401428,1,82,2.0,179050.0,1.0,model_dream,150,Richarlison,Richarlison,de Andrade,Richarlison de Andrade,Everton,everton,70.77,0.0
2019-20,30,Richarlison_de Andrade_150,3,8,0.7626572847366333,0.917759656906128,1,83,3.0,71325.0,1.0,model_budget,150,Richarlison,Richarlison,de Andrade,Richarlison de Andrade,Everton,everton,76.27,0.0
2019-20,30,Richarlison_de Andrade_150,3,8,0.7626572847366333,0.917759656906128,1,83,3.0,71325.0,1.0,model_dream,150,Richarlison,Richarlison,de Andrade,Richarlison de Andrade,Everton,everton,76.27,0.0
2019-20,31,Richarlison_de Andrade_150,3,8,0.6932655572891235,0.7888562083244324,1,83,6.0,15483.0,1.0,model_dream,150,Richarlison,Richarlison,de Andrade,Richarlison de Andrade,Everton,everton,69.33,0.0
2019-20,10,Richarlison_de Andrade_150,3,8,0.7072794437408447,0.8428490161895752,1,79,2.0,13786.0,0.0,transfer_budget,150,Richarlison,Richarlison,de Andrade,Richarlison de Andrade,Everton,everton,70.73,0.0
2019-20,21,Richarlison_de Andrade_150,3,8,0.7084442377090454,0.9036092758178712,1,80,10.0,211889.0,1.0,transfer_budget,150,Richarlison,Richarlison,de Andrade,Richarlison de Andrade,Everton,everton,70.84,0.0
2019-20,21,Richarlison_de Andrade_150,3,8,0.7084442377090454,0.9036092758178712,1,80,10.0,211889.0,1.0,transfer_dream,150,Richarlison,Richarlison,de Andrade,Richarlison de Andrade,Everton,everton,70.84,0.0
2019-20,26,Richarlison_de Andrade_150,3,8,0.635631263256073,0.7207558155059814,1,81,6.0,200724.0,1.0,transfer_budget,150,Richarlison,Richarlison,de Andrade,Richarlison de Andrade,Everton,everton,63.56,0.0
2019-20,26,Richarlison_de Andrade_150,3,8,0.635631263256073,0.7207558155059814,1,81,6.0,200724.0,1.0,transfer_dream,150,Richarlison,Richarlison,de Andrade,Richarlison de Andrade,Everton,everton,63.56,0.0
2019-20,27,Richarlison_de Andrade_150,3,8,0.707748532295227,0.7861705422401428,1,82,2.0,179050.0,1.0,transfer_budget,150,Richarlison,Richarlison,de Andrade,Richarlison de Andrade,Everton,everton,70.77,0.0
2019-20,27,Richarlison_de Andrade_150,3,8,0.707748532295227,0.7861705422401428,1,82,2.0,179050.0,1.0,transfer_dream,150,Richarlison,Richarlison,de Andrade,Richarlison de Andrade,Everton,everton,70.77,0.0
2019-20,28,Richarlison_de Andrade_150,3,8,0.6217278242111206,0.7336313724517822,1,83,2.0,73811.0,1.0,transfer_budget,150,Richarlison,Richarlison,de Andrade,Richarlison de Andrade,Everton,everton,62.17,0.0
2019-20,28,Richarlison_de Andrade_150,3,8,0.6217278242111206,0.7336313724517822,1,83,2.0,73811.0,1.0,transfer_dream,150,Richarlison,Richarlison,de Andrade,Richarlison de Andrade,Everton,everton,62.17,0.0
2019-20,12,Cenk_Tosun_146,4,8,0.6349186301231384,0.7310338020324707,1,57,2.0,1141.0,1.0,model_budget,146,Tosun,Cenk,Tosun,Cenk Tosun,Everton,everton,63.49,0.0
2019-20,13,Djibril_SidibÃÂ©_511,2,8,0.09629049536423688,0.13444955800067887,0,53,4.0,324.0,0.0,model_dream,511,Sidibé,Djibril,Sidibé,Djibril Sidibé,Everton,everton,9.63,0.0
2019-20,14,Djibril_SidibÃÂ©_511,2,8,0.09893420755966348,0.10918907624793453,0,53,0.0,704.0,0.0,model_budget,511,Sidibé,Djibril,Sidibé,Djibril Sidibé,Everton,everton,9.89,0.0
2019-20,15,Djibril_SidibÃÂ©_511,2,8,0.18840821288994652,0.2358275398136989,0,53,6.0,672.0,0.0,model_dream,511,Sidibé,Djibril,Sidibé,Djibril Sidibé,Everton,everton,18.84,0.0
2019-20,19,Djibril_SidibÃÂ©_511,2,8,0.16966565582324258,0.25155383649181634,0,53,2.0,55792.0,0.0,model_dream,511,Sidibé,Djibril,Sidibé,Djibril Sidibé,Everton,everton,16.97,0.0
2019-20,25,Djibril_SidibÃÂ©_511,2,8,0.8521639406269985,0.9651155691235572,1,54,2.0,2873.0,1.0,model_budget,511,Sidibé,Djibril,Sidibé,Djibril Sidibé,Everton,everton,85.22,0.0
2019-20,25,Djibril_SidibÃÂ©_511,2,8,0.8521639406269985,0.9651155691235572,1,54,2.0,2873.0,1.0,model_dream,511,Sidibé,Djibril,Sidibé,Djibril Sidibé,Everton,everton,85.22,0.0
2019-20,19,Djibril_SidibÃÂ©_511,2,8,0.16966565582324258,0.25155383649181634,0,53,2.0,55792.0,1.0,transfer_budget,511,Sidibé,Djibril,Sidibé,Djibril Sidibé,Everton,everton,16.97,0.0
2019-20,19,Djibril_SidibÃÂ©_511,2,8,0.16966565582324258,0.25155383649181634,0,53,2.0,55792.0,1.0,transfer_dream,511,Sidibé,Djibril,Sidibé,Djibril Sidibé,Everton,everton,16.97,0.0
2019-20,20,Djibril_SidibÃÂ©_511,2,8,0.1312532738342524,0.1645854208530489,0,53,3.0,25374.0,0.0,transfer_dream,511,Sidibé,Djibril,Sidibé,Djibril Sidibé,Everton,everton,13.13,0.0
2019-20,17,Dominic_Calvert-Lewin_147,4,8,0.7249094843864441,0.8448512554168701,1,57,2.0,22838.0,1.0,model_budget,147,Calvert-Lewin,Dominic,Calvert-Lewin,Dominic Calvert-Lewin,Everton,everton,72.49,0.0
2019-20,22,Dominic_Calvert-Lewin_147,4,8,0.7305279970169067,0.8793674111366272,1,59,8.0,87395.0,1.0,model_budget,147,Calvert-Lewin,Dominic,Calvert-Lewin,Dominic Calvert-Lewin,Everton,everton,73.05,0.0
2019-20,31,Dominic_Calvert-Lewin_147,4,8,0.7359006404876709,0.8373699784278871,1,65,2.0,38732.0,1.0,model_budget,147,Calvert-Lewin,Dominic,Calvert-Lewin,Dominic Calvert-Lewin,Everton,everton,73.59,0.0
2019-20,31,Dominic_Calvert-Lewin_147,4,8,0.7359006404876709,0.8373699784278871,1,65,2.0,38732.0,1.0,model_dream,147,Calvert-Lewin,Dominic,Calvert-Lewin,Dominic Calvert-Lewin,Everton,everton,73.59,0.0
2019-20,33,Dominic_Calvert-Lewin_147,4,8,0.6409975290298462,0.7827601432800293,1,64,1.0,28191.0,1.0,model_budget,147,Calvert-Lewin,Dominic,Calvert-Lewin,Dominic Calvert-Lewin,Everton,everton,64.1,0.0
2019-20,20,Dominic_Calvert-Lewin_147,4,8,0.5029557347297668,0.5803780555725098,-1,57,1.0,143902.0,1.0,transfer_budget,147,Calvert-Lewin,Dominic,Calvert-Lewin,Dominic Calvert-Lewin,Everton,everton,50.3,0.0
2019-20,20,Dominic_Calvert-Lewin_147,4,8,0.5029557347297668,0.5803780555725098,-1,57,1.0,143902.0,1.0,transfer_dream,147,Calvert-Lewin,Dominic,Calvert-Lewin,Dominic Calvert-Lewin,Everton,everton,50.3,0.0
2019-20,21,Dominic_Calvert-Lewin_147,4,8,0.5863621830940247,0.7478955388069153,-1,58,1.0,266754.0,1.0,transfer_budget,147,Calvert-Lewin,Dominic,Calvert-Lewin,Dominic Calvert-Lewin,Everton,everton,58.64,0.0
2019-20,21,Dominic_Calvert-Lewin_147,4,8,0.5863621830940247,0.7478955388069153,-1,58,1.0,266754.0,1.0,transfer_dream,147,Calvert-Lewin,Dominic,Calvert-Lewin,Dominic Calvert-Lewin,Everton,everton,58.64,0.0
2019-20,26,Dominic_Calvert-Lewin_147,4,8,0.6173973083496094,0.7000799775123596,1,61,6.0,178490.0,1.0,transfer_budget,147,Calvert-Lewin,Dominic,Calvert-Lewin,Dominic Calvert-Lewin,Everton,everton,61.74,0.0
2019-20,26,Dominic_Calvert-Lewin_147,4,8,0.6173973083496094,0.7000799775123596,1,61,6.0,178490.0,1.0,transfer_dream,147,Calvert-Lewin,Dominic,Calvert-Lewin,Dominic Calvert-Lewin,Everton,everton,61.74,0.0
2019-20,27,Dominic_Calvert-Lewin_147,4,8,0.6914323568344116,0.7680464386940002,1,62,7.0,156503.0,1.0,transfer_budget,147,Calvert-Lewin,Dominic,Calvert-Lewin,Dominic Calvert-Lewin,Everton,everton,69.14,0.0
2019-20,27,Dominic_Calvert-Lewin_147,4,8,0.6914323568344116,0.7680464386940002,1,62,7.0,156503.0,1.0,transfer_dream,147,Calvert-Lewin,Dominic,Calvert-Lewin,Dominic Calvert-Lewin,Everton,everton,69.14,0.0
2019-20,28,Dominic_Calvert-Lewin_147,4,8,0.5651785135269165,0.6669038534164429,-1,63,2.0,209309.0,1.0,transfer_budget,147,Calvert-Lewin,Dominic,Calvert-Lewin,Dominic Calvert-Lewin,Everton,everton,56.52,0.0
2019-20,28,Dominic_Calvert-Lewin_147,4,8,0.5651785135269165,0.6669038534164429,-1,63,2.0,209309.0,1.0,transfer_dream,147,Calvert-Lewin,Dominic,Calvert-Lewin,Dominic Calvert-Lewin,Everton,everton,56.52,0.0
2019-20,18,Tom_Davies_154,3,8,0.3973729014396668,0.4928004741668701,-1,53,1.0,937.0,1.0,model_budget,154,Davies,Tom,Davies,Tom Davies,Everton,everton,39.74,0.0
2019-20,31,Tom_Davies_154,3,8,0.36129266023635853,0.4111093580722809,-1,53,1.0,135.0,0.0,model_dream,154,Davies,Tom,Davies,Tom Davies,Everton,everton,36.13,0.0
2019-20,34,Tom_Davies_154,3,8,0.2820439338684082,0.3147817850112915,-1,53,2.0,145.0,0.0,transfer_dream,154,Davies,Tom,Davies,Tom Davies,Everton,everton,28.2,0.0
