season,round,name,element_type,team,pred,pred_norm,yhat,value,total_points_nextgw,transfers_in_nextgw,starting,type,captain,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,was_home,winning_goals,yellow_cards,opponent_team_strength,opponent_team_weakness,team_weakness,team_strength,opponent_weakness_nextgw,opponent_strength_nextgw,is_home_nextgw,transfers_in,transfers_out,transfers_out_nextgw,totalpoints_prevgw,bps_prevgw,ict_prevgw,opponent_strength_prevgw,opponent_weakness_prevgw,goals_scored_prevgw,matchday,assists_prevgw,key_passes_prevgw,bonus_prevgw,bps_prevgw.1,matchday_nextgw,opponent_team_away_strength_nextgw,opponent_team_home_strength_nextgw,opponent_team_away_weakness_nextgw,opponent_team_home_weakness_nextgw,opponent_team_away_strength_prevgw,opponent_team_home_strength_prevgw,opponent_team_away_weakness_prevgw,opponent_team_home_weakness_prevgw,team_home_strength,team_home_weakness,team_away_strength,team_away_weakness,opponent_team_home_strength,opponent_team_home_weakness,opponent_team_away_strength,opponent_team_away_weakness,hit,player_id,web_name,first_name,second_name,full_name,team_name,jersey_code,probability
2019-20,23,Alisson_Ramses Becker_189,1,10,0.9640719495801232,1.0,1.0,61,2.0,95778.0,1,model_budget,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,Alisson,Alisson,Ramses Becker,Alisson Ramses Becker,Liverpool,liverpool,96.41
2019-20,13,Alisson_Ramses Becker_189,1,10,0.7066285245860071,0.8267459978535696,1.0,60,-1.0,17958.0,1,model_budget,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,Alisson,Alisson,Ramses Becker,Alisson Ramses Becker,Liverpool,liverpool,70.66
2019-20,19,Alisson_Ramses Becker_189,1,10,0.6740115043033126,0.7922810696139935,1.0,60,6.0,38182.0,1,model_budget,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,Alisson,Alisson,Ramses Becker,Alisson Ramses Becker,Liverpool,liverpool,67.4
2019-20,24,Alisson_Ramses Becker_189,1,10,0.6693106467892043,1.0,1.0,61,8.0,54389.0,1,model_budget,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,Alisson,Alisson,Ramses Becker,Alisson Ramses Becker,Liverpool,liverpool,66.93
2019-20,22,Alisson_Ramses Becker_189,1,10,0.6636943994002439,1.0,1.0,60,13.0,47256.0,1,model_budget,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,Alisson,Alisson,Ramses Becker,Alisson Ramses Becker,Liverpool,liverpool,66.37
2019-20,25,Alisson_Ramses Becker_189,1,10,0.651392306934374,0.7171616419769143,1.0,61,6.0,26875.0,1,model_budget,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,Alisson,Alisson,Ramses Becker,Alisson Ramses Becker,Liverpool,liverpool,65.14
2019-20,23,Alisson_Ramses Becker_189,1,10,0.9640719495801232,1.0,1.0,61,2.0,95778.0,1,model_dream,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,Alisson,Alisson,Ramses Becker,Alisson Ramses Becker,Liverpool,liverpool,96.41
2019-20,34,Alisson_Ramses Becker_189,1,10,0.711913910000122,0.800559100784295,1.0,62,2.0,11082.0,0,model_dream,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,Alisson,Alisson,Ramses Becker,Alisson Ramses Becker,Liverpool,liverpool,71.19
2019-20,13,Alisson_Ramses Becker_189,1,10,0.7066285245860071,0.8267459978535696,1.0,60,-1.0,17958.0,1,model_dream,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,Alisson,Alisson,Ramses Becker,Alisson Ramses Becker,Liverpool,liverpool,70.66
2019-20,36,Alisson_Ramses Becker_189,1,10,0.6904913872656352,0.7828239237987301,1.0,62,1.0,1250.0,0,model_dream,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,Alisson,Alisson,Ramses Becker,Alisson Ramses Becker,Liverpool,liverpool,69.05
