season,round,name,element_type,team,pred,pred_norm,yhat,value,total_points_nextgw,transfers_in_nextgw,starting,player_id,web_name,first_name,second_name,full_name,team_name,jersey_code,probability,captain
2019-20,16,Etienne_Capoue_373,3,18,0.24503403902053836,0.26220497488975525,-1,48,2.0,402.0,1.0,373,Capoue,Etienne,Capoue,Etienne Capoue,Watford,watford,24.5,0.0
2019-20,2,Kyle_Walker-Peters_337,2,16,0.2523531337079168,0.2815033653669891,0,50,2.0,63812.0,0.0,337,Walker-Peters,Kyle,Walker-Peters,Kyle Walker-Peters,Southampton,southampton,25.24,0.0
2019-20,4,Angus_Gunn_319,1,16,0.3635168147927344,0.4341880914078508,0,45,9.0,44290.0,0.0,319,Gunn,Angus,Gunn,Angus Gunn,Southampton,southampton,36.35,0.0
2019-20,5,Angus_Gunn_319,1,16,0.8892334767757951,1.0,1,45,1.0,115066.0,1.0,319,Gunn,Angus,Gunn,Angus Gunn,Southampton,southampton,88.92,0.0
2019-20,5,Jan_Bednarek_307,2,16,0.8835674558440404,0.9936281965538468,1,45,1.0,25490.0,1.0,307,Bednarek,Jan,Bednarek,Jan Bednarek,Southampton,southampton,88.36,0.0
2019-20,13,Jan_Bednarek_307,2,16,0.6680671311962086,0.932816163883525,1,45,2.0,3065.0,1.0,307,Bednarek,Jan,Bednarek,Jan Bednarek,Southampton,southampton,66.81,0.0
2019-20,18,Jan_Bednarek_307,2,16,0.15638139582900853,0.22540360997397685,0,44,8.0,424.0,1.0,307,Bednarek,Jan,Bednarek,Jan Bednarek,Southampton,southampton,15.64,0.0
2019-20,5,Jannik_Vestergaard_304,2,16,0.7669181116861482,0.8624485376628633,1,51,1.0,183787.0,1.0,304,Vestergaard,Jannik,Vestergaard,Jannik Vestergaard,Southampton,southampton,76.69,0.0
2019-20,7,Oriol_Romeu Vidal_328,3,16,0.2863045930862427,0.3194125592708588,-1,45,2.0,4234.0,1.0,328,Oriol Romeu,Oriol,Romeu Vidal,Oriol Romeu Vidal,Southampton,southampton,28.63,0.0
2019-20,9,Ryan_Bertrand_305,2,16,0.5205975016902449,0.7972639372762093,1,49,-6.0,586.0,1.0,305,Bertrand,Ryan,Bertrand,Ryan Bertrand,Southampton,southampton,52.06,0.0
2019-20,14,Ryan_Bertrand_305,2,16,0.6361640468613152,0.7021046241972952,1,48,8.0,859.0,1.0,305,Bertrand,Ryan,Bertrand,Ryan Bertrand,Southampton,southampton,63.62,0.0
2019-20,12,Jack_Stephens_308,2,16,0.05473699521903174,0.07319374697508653,0,43,1.0,172.0,0.0,308,Stephens,Jack,Stephens,Jack Stephens,Southampton,southampton,5.47,0.0
2019-20,14,Danny_Ings_313,4,16,0.6468563079833984,0.7245774865150452,1,61,9.0,168438.0,1.0,313,Ings,Danny,Ings,Danny Ings,Southampton,southampton,64.69,0.0
2019-20,2,Sadio_ManÃÂ©_192,3,10,0.9333882331848145,1.0,1,115,3.0,334374.0,1.0,192,Mané,Sadio,Mané,Sadio Mané,Liverpool,liverpool,93.34,1.0
2019-20,5,Sadio_ManÃÂ©_192,3,10,0.8640061020851135,0.9231805801391602,1,115,2.0,214436.0,1.0,192,Mané,Sadio,Mané,Sadio Mané,Liverpool,liverpool,86.4,0.0
2019-20,13,Sadio_ManÃÂ©_192,3,10,0.8879632949829102,1.0,1,121,2.0,146886.0,1.0,192,Mané,Sadio,Mané,Sadio Mané,Liverpool,liverpool,88.8,1.0
2019-20,2,Mohamed_Salah_191,3,10,0.9248498678207396,0.9908522963523864,1,125,15.0,47097.0,1.0,191,Salah,Mohamed,Salah,Mohamed Salah,Liverpool,liverpool,92.48,0.0
2019-20,3,Mohamed_Salah_191,3,10,0.9174796342849731,0.9817731380462646,1,125,6.0,291554.0,1.0,191,Salah,Mohamed,Salah,Mohamed Salah,Liverpool,liverpool,91.75,0.0
2019-20,4,Mohamed_Salah_191,3,10,0.8625355958938599,0.9886505007743835,1,125,9.0,124574.0,1.0,191,Salah,Mohamed,Salah,Mohamed Salah,Liverpool,liverpool,86.25,0.0
2019-20,5,Mohamed_Salah_191,3,10,0.8739367723464966,0.9337913990020752,1,125,5.0,49872.0,1.0,191,Salah,Mohamed,Salah,Mohamed Salah,Liverpool,liverpool,87.39,0.0
2019-20,6,Mohamed_Salah_191,3,10,0.8453176021575928,0.9311324954032898,1,125,3.0,123616.0,1.0,191,Salah,Mohamed,Salah,Mohamed Salah,Liverpool,liverpool,84.53,0.0
2019-20,7,Mohamed_Salah_191,3,10,0.8963472843170166,1.0,1,125,2.0,34441.0,1.0,191,Salah,Mohamed,Salah,Mohamed Salah,Liverpool,liverpool,89.63,1.0
2019-20,11,Mohamed_Salah_191,3,10,0.7841708660125732,0.9068251252174376,1,124,8.0,26242.0,1.0,191,Salah,Mohamed,Salah,Mohamed Salah,Liverpool,liverpool,78.42,0.0
2019-20,2,Roberto_Firmino_187,4,10,0.805929958820343,0.8634455800056458,1,95,2.0,95558.0,1.0,187,Firmino,Roberto,Firmino,Roberto Firmino,Liverpool,liverpool,80.59,0.0
2019-20,9,Roberto_Firmino_187,4,10,0.7770442366600037,0.8584080338478088,1,96,2.0,26251.0,1.0,187,Firmino,Roberto,Firmino,Roberto Firmino,Liverpool,liverpool,77.7,0.0
2019-20,14,Roberto_Firmino_187,4,10,0.7001334428787231,0.7842559814453125,1,94,4.0,21579.0,1.0,187,Firmino,Roberto,Firmino,Roberto Firmino,Liverpool,liverpool,70.01,0.0
2019-20,4,Trent_Alexander-Arnold_182,2,10,0.7592684379822418,0.906877757887745,1,70,2.0,252915.0,1.0,182,Alexander-Arnold,Trent,Alexander-Arnold,Trent Alexander-Arnold,Liverpool,liverpool,75.93,0.0
