season,round,name,element_type,team,pred,value,total_points_nextgw,transfers_in_nextgw,starting,type,captain,selected,team_name,probability,jersey_code,team_name,probability,jersey_code,player_id,web_name,first_name,second_name,full_name
2019-20,25,Virgil_van Dijk_183,2,10,0.9407181510935836,64,2.0,222215.0,1,model_dream,0.0,,Liverpool,94.07,liverpool,Liverpool,94.07,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,27,Virgil_van Dijk_183,2,10,0.9016033844744328,65,6.0,73854.0,1,model_dream,0.0,,Liverpool,90.16,liverpool,Liverpool,90.16,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,18,Virgil_van Dijk_183,2,10,0.8828757800021824,64,7.0,68807.0,1,model_dream,0.0,,Liverpool,88.29,liverpool,Liverpool,88.29,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,21,Virgil_van Dijk_183,2,10,0.8507227171686648,64,6.0,48470.0,1,model_dream,0.0,,Liverpool,85.07,liverpool,Liverpool,85.07,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,35,Virgil_van Dijk_183,2,10,0.7895632372274952,65,2.0,47763.0,1,model_dream,0.0,,Liverpool,78.96,liverpool,Liverpool,78.96,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,14,Virgil_van Dijk_183,2,10,0.7797074653045379,64,2.0,35815.0,1,model_dream,0.0,,Liverpool,77.97,liverpool,Liverpool,77.97,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,15,Virgil_van Dijk_183,2,10,0.7789390602045528,64,17.0,18321.0,1,model_dream,0.0,,Liverpool,77.89,liverpool,Liverpool,77.89,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,36,Virgil_van Dijk_183,2,10,0.7583500097866709,65,2.0,40933.0,1,model_dream,0.0,,Liverpool,75.84,liverpool,Liverpool,75.84,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,9,Virgil_van Dijk_183,2,10,0.6663263331243316,65,2.0,35562.0,1,model_dream,0.0,,Liverpool,66.63,liverpool,Liverpool,66.63,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,16,Virgil_van Dijk_183,2,10,0.6648335709948505,64,1.0,60061.0,1,model_dream,0.0,,Liverpool,66.48,liverpool,Liverpool,66.48,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,26,Virgil_van Dijk_183,2,10,0.6357238517397716,64,6.0,121745.0,1,model_dream,0.0,,Liverpool,63.57,liverpool,Liverpool,63.57,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,4,Virgil_van Dijk_183,2,10,0.634763402344489,65,2.0,94480.0,1,model_dream,0.0,,Liverpool,63.48,liverpool,Liverpool,63.48,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,30,Virgil_van Dijk_183,2,10,0.5874426236090502,66,6.0,26563.0,1,model_dream,0.0,,Liverpool,58.74,liverpool,Liverpool,58.74,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,10,Virgil_van Dijk_183,2,10,0.4311693869692225,65,2.0,27864.0,0,model_dream,0.0,,Liverpool,43.12,liverpool,Liverpool,43.12,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,25,Virgil_van Dijk_183,2,10,,64,2.0,222215.0,1,transfer_dream,0.0,2959715.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
